time,temperature,voltage,current,name,type
0.0180003643035888,300.01275634765625,0.5602461,9.999831e-06,FAA2,DT670
0.2168269157409668,300.01275634765625,0.5602383,9.999816e-06,FAA2,DT670
0.4091556072235107,300.01275634765625,0.560249,9.999841e-06,FAA2,DT670
0.617321252822876,300.0196838378906,0.5602358,9.999807e-06,FAA2,DT670
0.8084781169891357,300.01513671875,0.560235,9.999841e-06,FAA2,DT670
1.000419855117798,300.01513671875,0.5604075,9.999827e-06,FAA2,DT670
1.1924326419830322,300.01513671875,0.5604143,9.999808e-06,FAA2,DT670
1.4006917476654053,300.0195007324219,0.5600759,9.999833e-06,FAA2,DT670
1.5919923782348633,300.0195007324219,0.5601956,9.999805e-06,FAA2,DT670
1.7834856510162354,300.0210876464844,0.5602036,9.999837e-06,FAA2,DT670
1.9907763004302976,300.0210876464844,0.5602235,9.999805e-06,FAA2,DT670
2.1828553676605225,300.0210876464844,0.560219,9.999841e-06,FAA2,DT670
2.374803304672241,300.0236511230469,0.5602136,9.999811e-06,FAA2,DT670
2.5671281814575195,300.021484375,0.5602189,9.999803e-06,FAA2,DT670
2.758087158203125,300.021484375,0.5602239,9.999813e-06,FAA2,DT670
2.9501211643218994,300.021484375,0.5602279,9.999845e-06,FAA2,DT670
3.1574573516845703,300.0331726074219,0.5602283,9.999838e-06,FAA2,DT670
3.349907159805298,300.0341796875,0.5602177,9.999811e-06,FAA2,DT670
3.5411489009857178,300.0341796875,0.5602138,9.999819e-06,FAA2,DT670
3.733265399932861,300.0341796875,0.5602214,9.999836e-06,FAA2,DT670
3.940850734710693,300.0526123046875,0.5602289,9.999811e-06,FAA2,DT670
4.132796764373779,300.0526123046875,0.5602057,9.999805e-06,FAA2,DT670
4.341050148010254,300.0643310546875,0.560213,9.999812e-06,FAA2,DT670
4.533223867416382,300.0643310546875,0.5602204,9.999811e-06,FAA2,DT670
4.740092039108276,300.0643310546875,0.5602108,9.999812e-06,FAA2,DT670
4.9484851360321045,300.0833740234375,0.5602041,9.99981e-06,FAA2,DT670
5.155825853347778,300.09210205078125,0.5602021,9.99984e-06,FAA2,DT670
5.363985776901245,300.09210205078125,0.5601981,9.999809e-06,FAA2,DT670
5.555035352706909,300.09210205078125,0.5601948,9.99982e-06,FAA2,DT670
5.762730360031128,300.1244201660156,0.5601931,9.999832e-06,FAA2,DT670
5.954811811447144,300.138916015625,0.5601941,9.999836e-06,FAA2,DT670
6.147051572799683,300.138916015625,0.5601628,9.999831e-06,FAA2,DT670
6.354119300842285,300.138916015625,0.560141,9.999821e-06,FAA2,DT670
6.546075820922852,300.18017578125,0.5601274,9.999832e-06,FAA2,DT670
6.737714052200317,300.19683837890625,0.560113,9.999841e-06,FAA2,DT670
6.945673227310181,300.19683837890625,0.5600882,9.999814e-06,FAA2,DT670
7.137956857681274,300.19683837890625,0.5600638,9.999843e-06,FAA2,DT670
7.329195499420166,300.24468994140625,0.5600446,9.999808e-06,FAA2,DT670
7.536666393280029,300.26470947265625,0.5600294,9.999809e-06,FAA2,DT670
7.72907280921936,300.26470947265625,0.5600002,9.99981e-06,FAA2,DT670
7.936326742172241,300.26470947265625,0.5599852,9.999807e-06,FAA2,DT670
8.12795901298523,300.26470947265625,0.5599728,9.999792e-06,FAA2,DT670
8.320838689804077,300.3226928710937,0.5599615,9.999802e-06,FAA2,DT670
8.512132167816162,300.3492736816406,0.5599685,9.999835e-06,FAA2,DT670
8.704204797744751,300.3492736816406,0.5599481,9.999817e-06,FAA2,DT670
8.895250797271729,300.3492736816406,0.5599074,9.999835e-06,FAA2,DT670
9.102811336517334,300.40924072265625,0.5598997,9.999802e-06,FAA2,DT670
9.295529842376707,300.43505859375,0.5598878,9.999833e-06,FAA2,DT670
9.502865314483644,300.43505859375,0.5598758,9.999833e-06,FAA2,DT670
9.695106506347656,300.43505859375,0.5598555,9.999809e-06,FAA2,DT670
9.901798486709597,300.507568359375,0.5598328,9.999809e-06,FAA2,DT670
10.09380030632019,300.53955078125,0.559819,9.999805e-06,FAA2,DT670
10.285310745239258,300.53955078125,0.5598158,9.999824e-06,FAA2,DT670
10.477473497390749,300.53955078125,0.5597889,9.999797e-06,FAA2,DT670
10.669262886047363,300.6091003417969,0.5597648,9.999812e-06,FAA2,DT670
10.860872983932495,300.6091003417969,0.5597499,9.999802e-06,FAA2,DT670
11.068503141403198,300.64208984375,0.5597329,9.999828e-06,FAA2,DT670
11.261325597763062,300.64208984375,0.5597078,9.999823e-06,FAA2,DT670
11.468319177627563,300.64208984375,0.5596883,9.999838e-06,FAA2,DT670
11.66081404685974,300.7201843261719,0.5596536,9.9998e-06,FAA2,DT670
11.867871522903442,300.7528076171875,0.5596376,9.999813e-06,FAA2,DT670
12.0599365234375,300.7528076171875,0.5596257,9.999843e-06,FAA2,DT670
12.26721739768982,300.7528076171875,0.559595,9.999829e-06,FAA2,DT670
12.459288358688354,300.8412780761719,0.559563,9.999819e-06,FAA2,DT670
12.6508047580719,300.87567138671875,0.5595362,9.999825e-06,FAA2,DT670
12.84279727935791,300.87567138671875,0.559516,9.999832e-06,FAA2,DT670
13.050432205200195,300.87567138671875,0.5594843,9.999817e-06,FAA2,DT670
13.242900133132936,300.9683837890625,0.55946,9.999813e-06,FAA2,DT670
13.43468451499939,301.0033874511719,0.5594245,9.999827e-06,FAA2,DT670
13.641823768615724,301.0033874511719,0.5594111,9.999838e-06,FAA2,DT670
13.833992958068848,301.0033874511719,0.5594058,9.999836e-06,FAA2,DT670
14.025242567062378,301.0033874511719,0.5594123,9.999843e-06,FAA2,DT670
14.217958450317385,301.0985107421875,0.5593839,9.99983e-06,FAA2,DT670
14.409085035324097,301.137939453125,0.5593643,9.999819e-06,FAA2,DT670
14.616553544998167,301.137939453125,0.5593385,9.999833e-06,FAA2,DT670
14.809221506118774,301.137939453125,0.5593055,9.999823e-06,FAA2,DT670
15.01714324951172,301.2372741699219,0.5592655,9.999832e-06,FAA2,DT670
15.208053350448608,301.2749328613281,0.5592465,9.999813e-06,FAA2,DT670
15.40071702003479,301.2749328613281,0.5592352,9.999821e-06,FAA2,DT670
15.59170413017273,301.2749328613281,0.5591829,9.99983e-06,FAA2,DT670
15.783376216888428,301.3804931640625,0.5591554,9.99982e-06,FAA2,DT670
15.975293397903442,301.42254638671875,0.5591158,9.999811e-06,FAA2,DT670
16.182955026626587,301.42254638671875,0.5590922,9.999842e-06,FAA2,DT670
16.375112771987915,301.42254638671875,0.5590617,9.999797e-06,FAA2,DT670
