time,temperature,voltage,current,name,type
0.0762662887573242,100.00835418701172,0.9843804,9.999813e-06,D9B4,DT670
0.2682919502258301,100.00835418701172,0.9843835,9.999809e-06,D9B4,DT670
0.4603123664855957,100.00835418701172,0.9843872,9.99983e-06,D9B4,DT670
0.6674363613128662,100.00740051269533,0.9843744,9.999822e-06,D9B4,DT670
0.8596060276031494,100.00818634033205,0.9843845,9.999807e-06,D9B4,DT670
1.0520086288452148,100.00818634033205,0.9843878,9.999825e-06,D9B4,DT670
1.2597107887268066,100.00818634033205,0.9843826,9.999825e-06,D9B4,DT670
1.4516019821166992,100.00749969482422,0.9843839,9.999826e-06,D9B4,DT670
1.6434197425842283,100.00749969482422,0.9843848,9.999801e-06,D9B4,DT670
1.8352892398834229,100.00802612304688,0.9843859,9.999822e-06,D9B4,DT670
2.027547836303711,100.00802612304688,0.9843894,9.999815e-06,D9B4,DT670
2.235114097595215,100.00749969482422,0.9844199,9.999825e-06,D9B4,DT670
2.427434206008911,100.00749969482422,0.9844182,9.999798e-06,D9B4,DT670
2.6189489364624023,100.00835418701172,0.9844208,9.999805e-06,D9B4,DT670
2.8110511302948,100.00835418701172,0.9843641,9.999797e-06,D9B4,DT670
3.0032079219818115,100.00835418701172,0.9843863,9.999829e-06,D9B4,DT670
3.2109122276306152,100.00634002685548,0.9843889,9.999821e-06,D9B4,DT670
3.4033761024475098,100.00521850585938,0.9843819,9.999828e-06,D9B4,DT670
3.595311164855957,100.00521850585938,0.9843871,9.99983e-06,D9B4,DT670
3.802903413772583,100.00521850585938,0.9843906,9.999841e-06,D9B4,DT670
4.010644197463989,99.99470520019533,0.984387,9.99981e-06,D9B4,DT670
4.202861547470093,99.98951721191406,0.9843921,9.999809e-06,D9B4,DT670
4.3951735496521,99.98951721191406,0.9843916,9.999827e-06,D9B4,DT670
4.602614641189575,99.98951721191406,0.9843883,9.999831e-06,D9B4,DT670
4.794589519500732,99.96810150146484,0.9843897,9.999811e-06,D9B4,DT670
4.9870312213897705,99.95806121826172,0.9843962,9.999829e-06,D9B4,DT670
5.194349050521851,99.95806121826172,0.98439,9.999809e-06,D9B4,DT670
5.38665509223938,99.95806121826172,0.984397,9.999801e-06,D9B4,DT670
5.594566822052002,99.9297866821289,0.9843944,9.999809e-06,D9B4,DT670
5.786228179931641,99.91858673095705,0.9843977,9.999805e-06,D9B4,DT670
