temperature,voltage
299.54233314251076,0.5729356586206896
298.76995522635326,0.5747296214285714
298.01493072509766,0.5764934357142858
297.24417659214566,0.5782690321428571
296.4750540597098,0.5800358214285714
295.7141821725028,0.5818004071428572
294.9463915143694,0.5835742107142857
294.17974744524275,0.5853415892857142
293.40329306466236,0.5871237357142858
292.6305018833705,0.5889071107142857
291.86836896623885,0.5906848464285714
291.09287697928295,0.5924569357142857
290.3349699797454,0.5942147481481482
289.5701882498605,0.5959825678571429
288.80359112774886,0.5977390555555556
288.0366875784738,0.5995079892857144
287.2625525338309,0.6013061178571428
286.481029369213,0.6030904666666667
285.72760913990163,0.6048410333333334
284.9508754185268,0.6066177571428572
284.18039166485823,0.6084018296296297
283.4173889160156,0.6101611740740741
282.6479729546441,0.6119220666666666
281.8776735578264,0.613712925
281.0997122305411,0.6154973925925925
280.3335944281684,0.6172650666666667
279.5611481843171,0.6190312259259259
278.7894128870081,0.6207950851851852
278.01847782841435,0.6225711777777777
277.25599200908954,0.6243293423076923
276.48468130606193,0.6260875444444445
275.7156089500145,0.6278595296296297
274.93922706886576,0.629637374074074
274.16283840603296,0.6314193888888888
273.3817862051505,0.6332090703703704
272.60980811485877,0.6349821038461538
271.84864220252405,0.6367205230769231
271.0841787832755,0.6384800962962963
270.2900774920428,0.6402821629629629
269.52435537484973,0.6420452
268.7383795844184,0.6438252222222223
267.97012094350964,0.645591523076923
267.1895684136285,0.6473671777777779
266.39793395996094,0.6491511923076924
265.61423972800924,0.6509346111111112
264.8319396972656,0.6527123384615384
264.0613121619591,0.6544662653846154
263.30254892202527,0.6562027653846154
262.50957460756655,0.6579932148148148
261.71294931265027,0.6597931
260.94215510441705,0.6615435423076923
260.1706237792969,0.6632983269230769
259.38945242074817,0.6650660346153846
258.59693791316107,0.6668521423076924
257.80176602877106,0.6686319038461538
257.0114616980919,0.6704192653846154
256.2261012150691,0.6721985384615384
255.44303771972656,0.6739571759999999
254.67081216665414,0.6757025730769232
253.8789555476262,0.6774837384615384
253.088212890625,0.679250372
252.30259469839243,0.6810229461538462
251.50467271071213,0.6828163884615385
250.7011214036208,0.6846053692307692
249.91332336425782,0.68635802
249.13648047814002,0.6881120538461538
248.32272221491888,0.6899057384615385
247.5320086669922,0.691675828
246.72483532245343,0.6934379192307693
245.93131138728216,0.69522185
245.12913161057693,0.6970099384615385
244.33349060058595,0.698771512
243.53848383976862,0.700533673076923
242.73479872483475,0.7023180384615385
241.93965031550482,0.7040895615384616
241.1439813232422,0.705840172
240.35690366304837,0.7076068653846155
239.54847247783954,0.7093900884615384
238.74288646991437,0.7111793115384616
237.955615234375,0.712927464
237.1630612886869,0.7146881807692308
236.35915140005258,0.7164679846153846
235.54882049560547,0.7182481999999999
234.73533865121695,0.7200428115384615
233.93555157001202,0.7218163961538462
233.13244335468,0.7235844076923077
232.3213665301983,0.7253693192307692
231.53525817871093,0.72711274
230.7243239791305,0.7288861629629629
229.92243041992188,0.7306538039999999
229.12059247052227,0.7324243222222222
228.2987142709585,0.7342248730769231
227.50464050292967,0.73596992
226.69754321758563,0.7377319692307692
225.8805952805739,0.7395295384615385
225.08155212402343,0.741287848
224.29452808086688,0.7430447115384615
223.4841050368089,0.7448323192307692
222.68617736816407,0.746591064
221.88454026442307,0.7483446538461538
221.07761265681336,0.7501312807692307
220.26442835881159,0.7519215576923077
219.46638732910156,0.753691184
218.65494126539963,0.7554664192307693
217.8522155761719,0.7572422
217.02611248309796,0.7590217923076923
216.2356219482422,0.7607855960000001
215.4314422607422,0.7625402440000001
214.6153587928185,0.7643257769230769
213.79769070943198,0.7661015958333333
212.98546306903546,0.7678751576923077
212.14712463378908,0.76967378
211.33536084493002,0.7714324833333334
210.51275571187338,0.7731702625
209.6686505126953,0.774948304
208.80146598815918,0.7767409875000001
207.95413462320963,0.7784785041666668
207.06302734375,0.7802583359999999
206.11992431640624,0.7820611359999999
205.16696802775064,0.7838510541666667
204.15892700195312,0.785621848
203.06571432260367,0.7874001423076924
201.8380601671007,0.7891593111111112
200.35240450772372,0.7909215121212121
198.62692957339078,0.7927337934782609
197.29121635700093,0.7944579068965517
196.43855361938478,0.796225495
195.61045371879965,0.7979998220338983
194.78329209149894,0.7997669762711864
193.95911575576005,0.8015323423728814
193.13148188186904,0.8033020118644069
192.3025789422504,0.805073572881356
191.4720619330972,0.8068440288135593
190.63574529098253,0.808625879661017
189.80323028564453,0.8104047000000001
188.97928172144395,0.8121596344827586
188.14871422719148,0.8139287593220339
187.3102861601731,0.8157136327586206
186.47704315185547,0.8174813120689656
185.63617434744108,0.8192637813559321
184.79282247609106,0.821050425862069
183.95659006053003,0.8228245775862069
183.12469589501097,0.8245852385964912
182.2851002134126,0.8263580620689656
181.445395107927,0.8281320362068966
180.6113067091557,0.8298928175438597
179.77204395162647,0.8316583637931034
178.92995894582648,0.8334398105263158
178.08609222947504,0.8352105578947369
177.23973951668575,0.8369899724137931
176.3940523381819,0.8387678631578948
175.55685315813338,0.8405208910714286
174.70709817451342,0.8423032859649122
173.86594016335226,0.8440658927272727
173.02850641523088,0.8458184535714286
172.1763372588576,0.8475979789473684
171.3230925968715,0.8493858607142857
170.46896607535226,0.8511662839285714
169.6202062433416,0.8529401272727273
168.76851612437855,0.8547138927272728
167.91866427334872,0.8564804818181818
167.06279100690568,0.8582544553571428
166.21367277922454,0.860022712962963
165.36332841352984,0.86178544
164.5099281028465,0.8635574055555556
163.65585687810724,0.8653233690909091
162.79504761872468,0.8671023259259258
161.93782636854382,0.8688765333333334
161.08235648826317,0.8706402648148148
160.22079467773438,0.8724161388888889
159.35604999683522,0.8742022962962963
158.49651552596183,0.875969041509434
157.63560542353878,0.8777443722222222
156.7705579073924,0.8795194660377359
155.90403267189308,0.8812927944444445
